Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
Domaine des Hauts de Sanziers;Vins;;;14 rue Saint-Vincent;;49260;;LE PUY-NOTRE-DAME;;49253;47.115046;-0.205511;;;02 41 52 26 75;;tessieretfils@wanadoo.fr;;;;Google+||https://maps.google.com/?cid=12507265006403925455;;Viticulture;Vigneron Indépendant;;;;;;;Français;"Coteaux de Saumur;Saumur;Saumur Blanc;Saumur Brut;Saumur Champigny;Saumur Rouge";;;oui;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.115046, -0.205511;Maine-et-Loire
Le plaisir de chiner;;;;16 Place Saint-Nicolas;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.73031;0.56981;;06 80 56 33 76;;;audrey048888@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.73031, 0.56981;Sarthe
LE PALET GOURMAND;Biscuit,Café,Confiserie / chocolat,Confiture,Epices / Condiment,Foie gras,Produits du terroir (boutique),Rillettes,Spiritueux;;;16 Rue du Marché;;44270;;MACHECOUL-SAINT-MEME;;44087;46.99255;-1.82023;;;02 40 78 55 75;;;https://www.facebook.com/lepaletgourmand.fr/;;;Facebook||https://www.facebook.com/lepaletgourmand.fr/?ref=page_internal;;Agro-alimentaire;;;non;;;;;Français;;;;oui;;;;;;;;;Français;;;oui;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;46.99255, -1.82023;Loire-Atlantique
Gerard Gaignard;Vins;;;16 rue Nationale;Concourson-sur-Layon;49700;;DOUE-EN-ANJOU;;49125;47.174716;-0.339485;;;02 41 59 14 58;;earl.gaignard@orange.fr;;;;Google+||https://maps.google.com/?cid=2687675050424410143;;Viticulture;Terra Vitis;;;;;;;Français;"Anjou Blanc;Anjou Rouge;Coteaux du Layon;Rosé d'Anjou";;;oui;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.174716, -0.339485;Maine-et-Loire
Atelier A Flanc de Colline - Céramique;;;;17 place de l'église;;44530;;GUENROUET;;44068;47.52009;-1.95006;;;02 40 87 79 32;;florence.truchon@sfr.fr;http://www.aflancdecolline.odexpo.com;;;;;;;;oui;;;;;;;;;;;;;;oui;;;;;oui;;;;;;;;;Chèques bancaires et postaux,Espèces;47.52009, -1.95006;Loire-Atlantique
Maison Le Dréan - Biscuiterie Chocolaterie;Biscuit,Brioche et viennoiserie,Confiserie / chocolat,Fruits / légumes,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Sel;;;18 rue Saint-Michel;;44350;;GUERANDE;;44069;47.32742;-2.42798;;;02 51 76 59 92;02 97 73 96 28;ledrean-guerande@orange.fr;http://www.ledrean.com;;;;;Activités de la mer;;;oui;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||10:30||13:00||14:30||18:30||10:30||13:00||14:30||18:30||10:30||13:00||14:30||18:30||10:30||13:00||14:30||18:30||10:30||13:00||14:30||18:30||||||||;;;;;;Cartes bancaires,Espèces;47.32742, -2.42798;Loire-Atlantique
GAEC GABORIAU;Viande;;;2 Lieu-dit La Griffraire;;44650;;LEGE;;44081;46.90668;-1.58459;;;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;non;;;;;;;;;;;;oui;;;;;;;;46.90668, -1.58459;Loire-Atlantique
Domaine Chaigneau;Vins;;;2 route de Saint-Georges;Concourson-sur-Layon;49700;;DOUE-EN-ANJOU;;49125;47.174168;-0.340588;;;02 41 59 07 74;;earlduchenehaut@orange.fr;;;;Google+||https://maps.google.com/?cid=15135506510322808925;;Viticulture;Vigneron Indépendant;;;;;;;Français;"Anjou Blanc;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé d'Anjou;Saumur;Saumur Brut";;;oui;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.174168, -0.340588;Maine-et-Loire
Distillerie du Pré Sec;Spiritueux;;;2 Rue Charles de Bonchamps;JALLAIS;49510;;BEAUPREAU-EN-MAUGES;;49023;47.1897718;-0.8693117;;;02 41 64 24 88;;babinsarl@gmail.com;;;;Facebook||https://www.facebook.com/profile.php?id=100051976576180;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;"Proposition clientèle||DEGPDL049V50ABID;Proposition clientèle||HLOPDL049V50HIO3";oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||09:00||12:00||||||||||||||||||||;DISTILLERIE DU PRÉ SEC||02 41 64 24 88||babinsarl@gmail.com;;;;;Cartes bancaires,Espèces;47.1897718, -0.8693117;Maine-et-Loire
Fromagerie Chez Martinadette;Fromage et produit laitier;;;2 Rue de la Perrière;;53600;;EVRON;;53097;48.15585;-0.40157;;;02 53 22 35 46;;contact@chezmartinadette.com;;;;Facebook||https://www.facebook.com/chezmartinadette?locale=fr_FR;;Agro-alimentaire;;;non;;;;;Anglais,Français;;oui;;;;;;;;;non;;Français,Anglais;;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.15585, -0.40157;Mayenne
VIGNOBLE DES FORGES;Vins;;;20 impasse des forges;COUTURES;49320;;BRISSAC LOIRE AUBANCE;;49050;47.36303;-0.35537;;06 99 36 46 48;06 66 84 97 22;;info@vignobledesforges.com;http://www.vignobledesforges.com;;;;;Viticulture;;;oui;;;;;Français;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Crémant de Loire;Rosé de Loire";oui;;oui;;;;;;;;;Français;;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.36303, -0.35537;Maine-et-Loire
Atelier de Calligraphie et d'Enluminure;Enluminure / Calligraphie;;;20 rue de Saillé;;44350;;GUERANDE;;44069;47.32689;-2.42949;;;02 40 62 12 97;;contact@atelierguerande.com;http://www.atelierguerande.com;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32689, -2.42949;Loire-Atlantique
Ferme de la Mariolle;Bétail,Elevage,Viande;;;201 La Mariolle;;44540;;LE PIN;;44124;47.588387;-1.153654;;07 87 74 93 54;;;jeanlouis.grimault@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||||||||||||||17:00||20:00||||||||||||||||;;;;;;;47.588387, -1.153654;Loire-Atlantique
Nicolas;;;;21 avenue des Pétrels;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28521;-2.39613;;;02 40 60 51 09;;;https://www.nicolas.com/fr/magasins/LA-BAULE/s/00009341.html;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28521, -2.39613;Loire-Atlantique
Épicerie Les Beauprés;Produits du terroir (boutique);;;21 bis rue Saint Martin;BEAUPREAU;49600;;BEAUPREAU-EN-MAUGES;;49023;47.2035209;-0.9833558;;;02 41 63 54 50;;hmpmenard@ozone.net;http://lesbeaupres.fr/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;Proposition clientèle||DEGPDL049V50BQLD;oui;01/01/2025||31/12/2025||||||09:00||12:30||||||||||||||||||||||||||||||09:00||12:30||14:30||19:00||09:00||13:00||||||09:00||12:30||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.2035209, -0.9833558;Maine-et-Loire
Les rangs d'oignons;Fruits / légumes;;;22 rue de Clermont;;44850;;LE CELLIER;;44028;47.3210166;-1.3446221;;07 68 46 48 00;;;lesrangsdoignons@gmail.com;https://www.lesrangsdoignons.com/;;;Facebook||https://www.facebook.com/LesRangsdOignons?locale=fr_FR;;Agriculture / horticulture / Pêche;Accueil Paysan,Agriculture Biologique (AB),La Loire à vélo;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||18:00||19:00||||||||||||||17:00||19:00||||||||||||||||;;;;;;;47.3210166, -1.3446221;Loire-Atlantique
Domaine de Fiervaux;Vins;;;235 rue des Caves - Oiré;;49260;;VAUDELNAY;;49364;47.144811;-0.251342;;;02 41 52 34 63;;christian@domainedefiervaux.com;http://www.domainedefiervaux.com;;;Facebook||https://www.facebook.com/christiancousin72/,Google+||https://maps.google.com/?cid=1419696506503932444;;Viticulture;Caves touristiques vignoble de Loire,Vigneron Indépendant;;;;;;;;"Anjou Blanc;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Saumur;Saumur Blanc;Saumur Brut;Saumur Rosé";;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.144811, -0.251342;Maine-et-Loire
Boutique La Sablésienne;Biscuit;;;28 Grande Rue;;72200;;LA FLECHE;;72154;47.699461;-0.073869;;;02 43 48 81 28;;lafleche@sablesienne.com;http://www.sablesienne.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2025||30/11/2025||||||||||||||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||||||||,01/12/2025||31/12/2025||||||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||19:00||10:00||12:30||14:30||18:00;;;;;;;47.699461, -0.073869;Sarthe
Domaine Bruneau;Vins;;;29 rue des Martyrs;;49730;;TURQUANT;;49358;47.217842;0.027268;;;02 41 38 10 18;;henri-bruneau@wanadoo.fr;;;;Facebook||https://www.facebook.com/Domaine-Bruneau-148853311824036/,Google+||https://maps.google.com/?cid=10531304897377940626;;Viticulture;;;;;;;;;"Coteaux de Saumur;Crémant de Loire;Saumur;Saumur Blanc;Saumur Champigny;Saumur Rosé";;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.217842, 0.027268;Maine-et-Loire
L'Écrin de Sel;Produits du terroir (boutique);;;2bis Rue du Guhaut;;44740;;BATZ-SUR-MER;;44010;47.27729;-2.44699;;;06 11 21 65 78;;;https://lecrindesel.fr/;;;;;Activités de la mer;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires;47.27729, -2.44699;Loire-Atlantique
HLP AUDIT - EXPERTISE COMPTABLE ET COMMISSARIAT AUX COMPTES;;;;3 chemin du Pressoir Chênaie;;44100;;NANTES;;44109;47.1983832;-1.5899383;;;;;mzimer@hlp-audit.fr;https://www.hlp-audit.fr/;;;;;;Visitez nos entreprises;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1983832, -1.5899383;Loire-Atlantique
Nuala Savons;Cosmétique;;;3 impasse des Violettes;;44690;;LA HAIE-FOUASSIERE;;44070;47.1579346;-1.3825096;;;07 85 29 03 14;;t.leroux@nuala.fr;;;;Instagram||https://www.instagram.com/nuala_savonnerie/?hl=fr,Facebook||https://www.facebook.com/nuala.savonnerie;;Artisanat / Art;;;non;;;;;Français;;;non;oui;;;non;non;non;non;non;;Français;non;;;;;;;oui;;Cartes bancaires,Espèces;47.1579346, -1.3825096;Loire-Atlantique
Retour de plage;;;;3 Place Saint-Aubin;;44350;;GUERANDE;;44069;47.32764;-2.42931;;;02 85 29 93 84;;service-client@retourdeplage.fr;https://www.retourdeplage.fr/;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;oui;;;01/01/2025||31/12/2025||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||10:00||18:00;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.32764, -2.42931;Loire-Atlantique
Biscuiterie la Trinitaine;Bières,Biscuit,Epices / Condiment,Fruits / légumes,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Produits du terroir (boutique),Sel,Spiritueux,Vins;;;3 quai du Port Ciguet;14 quai de la Petite Chambre;44490;;LE CROISIC;;44049;47.29581;-2.51339;;;02 40 23 06 05;;contact@latrinitaine.com;https://www.latrinitaine.com/;;;;;"Activités de la mer;Viticulture";;;non;;;;;;;;;;;;;;oui;;;;;oui;;;;;;;;;Cartes bancaires,Espèces;47.29581, -2.51339;Loire-Atlantique
Domaine de la Charmille;Vins;;;3 route de Soussigné;Brigné;49700;;DOUE-EN-ANJOU;;49125;47.246166;-0.385148;;;02 41 59 67 20;;earl.brault@orange.fr;http://www.domainedelacharmille.fr/;;;Google+||https://maps.google.com/?cid=10922784725324154057;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.246166, -0.385148;Maine-et-Loire
LA LOCO'MOTIVE;Brioche et viennoiserie,Confiture,Fromage et produit laitier,Fruits / légumes,Pain / Pâtisserie,Produits apicoles,Viande,Volailles / Oeufs;;;3 Rue Laennec;Rozé;44550;;SAINT-MALO-DE-GUERSAC;;44176;47.3594129;-2.186059;;;07 68 87 98 81;;lespotesauroz@gmail.com;;;;Facebook||https://www.facebook.com/Les-potes-au-Roz-La-LocoMotive-1166445600147694/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3594129, -2.186059;Loire-Atlantique
La Ferme des 1001 Cornes;Fromage et produit laitier,Viande;;;30 La Douettée;;44530;;GUENROUET;;44068;47.44874;-1.91364;;06 65 24 58 23;02 44 04 01 28;;fermedesmilleetunecornes@hotmail.fr;;;;;;Agro-alimentaire;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.44874, -1.91364;Loire-Atlantique
Fromagerie Maison Heude;Fromage et produit laitier,Produits du terroir (boutique);;;36 Avenue Louis Lajarrige;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28006;-2.36958;;;07 62 29 69 74;;maison.heude@gmail.com;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28006, -2.36958;Loire-Atlantique
Domaine des Frogères;Vins;;;36 rue du Bourg-Neuf;Chacé;49400;;BELLEVIGNE-LES-CHATEAUX;;49060;47.21405;-0.06709;;;06 19 44 77 44;;domainedesfrogeres@gmail.com;;;;;;Viticulture;Agriculture Biologique (AB);;oui;;;;;Anglais,Français;"Saumur;Saumur Blanc;Saumur Champigny";;;oui;;;;;;;;;;;;;01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||18/10/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.21405, -0.06709;Maine-et-Loire
Biscuiterie Maison Drans - Boutique;Biscuit,Confiserie / chocolat;;;38 place Raphaël Elizé;;72300;;SABLE-SUR-SARTHE;;72264;47.83976;-0.3331101;;;02 43 55 61 87;;contact@maisondrans.com;https://www.maisondrans.com/;https://drive.google.com/file/d/1R_1c8c03oUygAOU7dg1lxZdPtjoLCBQB/view;;Facebook||https://www.facebook.com/MaisonDrans/,||https://www.linkedin.com/company/maison-drans/?originalSubdomain=fr,Instagram||https://www.instagram.com/maisondrans/;;Agro-alimentaire;;;;;;;;;;oui;;;;;;non;;non;non;non;Français;oui;;oui;01/01/2025||31/12/2025||||Dimanche||09:30||12:30||15:00||19:00||09:30||12:30||15:00||19:00||09:30||12:30||15:00||19:00||09:30||12:30||15:00||19:00||09:30||12:30||15:00||19:00||09:30||12:30||15:00||19:00||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.83976, -0.3331101;Sarthe
Domaine de l'Espérance;Vins;;;4 L'Espérance;TILLIERES;49230;;SEVREMOINE;;49301;47.1407027;-1.1945147;;06 14 78 96 91;02 41 70 46 09;;gaecchesne@orange.fr;https://www.domainedelesperance.com;;;Facebook||https://www.facebook.com/Domaine-de-l%C3%A9sp%C3%A9rance-1664918493810683/;;Viticulture;Caves touristiques vignoble de Loire,Haute valeur environnementale (HVE);;;;;;;Français;"Cabernet d'Anjou;Muscadet;Muscadet Sèvre-et-Maine";;oui;oui;;;;oui;oui;;;;;;"Proposition clientèle||ITIPDL049V50ADHO;Proposition clientèle||DEGPDL049V50ABIS";oui;01/01/2025||21/12/2025||||Lundi, mardi, jeudi et vendredi : 9h00 – 12h30 / 15h00 – 18h30 Samedi : 9h00 – 12h30||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||||||||||09:00||12:30||15:00||18:30||09:00||12:30||15:00||18:30||09:00||12:30||||||||||||;CHESNE Patrice||06 14 78 96 91||gaecchesne@orange.fr;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1407027, -1.1945147;Maine-et-Loire
Domaine de la Petite Chapelle;Vins;;;4 rue des Vignerons;;49400;;SOUZAY-CHAMPIGNY;;49341;47.213424;-0.021826;;;02 41 52 41 11;;deze.laurent@orange.fr;;https://www.youtube.com/watch?v=fGAFDTu_YnM;;Google+||https://maps.google.com/?cid=1526752911729638765;;Viticulture;;;;;;;;;"Coteaux de Saumur;Crémant de Loire;Saumur;Saumur Blanc;Saumur Champigny";;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.213424, -0.021826;Maine-et-Loire
Elam;Peinture;;;4 Rue Sainte-Catherine;Intra-Muros;44350;;GUERANDE;;44069;47.327;-2.42967;;;06 47 87 31 85;;elameric@orange.fr;;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.327, -2.42967;Loire-Atlantique
EARL JACQUET - LES CERFS DE LA FARDELLIÈRE;Elevage,Rillettes,Viande;;;4, La Fardelliere;VALANJOU;49670;;CHEMILLE-EN-ANJOU;;49092;47.1984179;-0.596074;;;02 41 45 41 01;Partenaire Ôsez Mauges 2024;lescerfsdelafardelliere@yahoo.fr;https://lescerfsdelafardelliere.fr/;;;Facebook||https://fr-fr.facebook.com/lescerfsdelafardelliere/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;;;non;oui;oui;2h;2h;oui;oui;non;oui;;oui;Français;non;;non;;;;;non;;Chèques bancaires et postaux,Espèces;47.1984179, -0.596074;Maine-et-Loire
Domaine CLO;Vins;;;479 rue des Ardillais;;49260;;VAUDELNAY;;49364;47.13435;-0.20191;;;06 28 62 57 91;;cyril.leau@domaineclo.com;http://www.domaineclo.com;;;Facebook||https://www.facebook.com/domaineclo/,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1916581-d25048596-Reviews-DOMAINE_CLO_CYRIL_LEAU-Vaudelnay_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/ledomaineclo/;;Viticulture;Agriculture Biologique (AB);;;;;;;Anglais,Français;"Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Saumur;Saumur Blanc;Saumur Rosé;Saumur Rouge";;;oui;;;;;;;;;;;;;01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Espèces;47.13435, -0.20191;Maine-et-Loire
Maison Georges Larnicol;Biscuit,Brioche et viennoiserie,Confiserie / chocolat,Pain / Pâtisserie;;;5 Quai d'Aiguillon;;44490;;LE CROISIC;;44049;47.29533;-2.51334;;;02 40 23 67 14;;contact@larnicol.com;https://larnicol.com/content/31-le-croisic;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Espèces;47.29533, -2.51334;Loire-Atlantique
Eco-ferme du Portmain;;;;5, le Portmain;;44210;;PORNIC;;44131;47.12259;-2.16127;;;07 63 88 44 99;;ecofermeduportmain@gmail.com;;;;;;;;;;tolérés en laisse;;;;;;;;;;;;;;;;;;;;;01/01/2024||31/12/2024||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||,01/01/2025||31/12/2025||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.12259, -2.16127;Loire-Atlantique
Produits de la ferme l'Etable des Mauges;Produits du terroir (boutique),Rillettes,Viande,Volailles / Oeufs;;;502 Moulin de Vernon;JALLAIS;49510;;BEAUPREAU-EN-MAUGES;;49023;47.195407;-0.867684;;06 87 21 89 23;;Partenaire Ôsez Mauges 2023;contact@letabledesmauges.fr;https://www.letabledesmauges.fr/;;;Facebook||https://www.facebook.com/letabledesmauges/,Instagram||https://www.instagram.com/letabledesmauges/?hl=fr;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Agriculture Biologique (AB);;;;;;;;;;;oui;;;;;;;;;;;;oui;01/01/2025||31/12/2025||||||||||||||||||||||16:00||19:00||||||||||||||||||||||10:00||12:30||||||||||||;;;;;;Cartes bancaires,Espèces;47.195407, -0.867684;Maine-et-Loire
Pascal Durot, atelier de poterie et céramique;Céramique, faïence, émail,Poterie;;;509 Lieu-dit La Martinerie;Le Fuilet;49270;;MONTREVAULT-SUR-EVRE;;49218;47.2729;-1.12841;;06 51 57 66 23;;;pascalcerami@gmail.com;https://pascal-durot.square.site/;;;Facebook||https://www.facebook.com/potier.pascal.durot/;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;oui;01/01/2025||31/12/2025||||Atelier ouvert sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2026||31/12/2026||||Atelier ouvert sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://book.squareup.com/appointments/p5jm1i9wjwhbz8/location/LF5YVS8K7YK21/services?buttonTextColor=ffffff&color=9B804A&locale=fr-CA&referrer=so&team_member_id=TMV3HTP-oLll9j2k||||06 51 57 66 23||pascalcerami@gmail.com;oui;;;;47.2729, -1.12841;Maine-et-Loire
LE PETIT CLOS;Fromage et produit laitier,Fruits / légumes,Volailles / Oeufs;;;53 bis Lieu Dit le Grand Bois Gas;LA POMMERAYE;49620;;MAUGES-SUR-LOIRE;;49244;47.3503948;-0.8453485;;0611963642;;;lepetitclos@outlook.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3503948, -0.8453485;Maine-et-Loire
Domaine des Coutures;Vins;;;53 rue des Martyrs;;49730;;TURQUANT;;49358;47.215691;0.026241;;;02 41 38 11 29;;domainedescoutures@orange.fr;http://www.domaine-des-coutures.com/;;;Facebook||https://www.facebook.com/DomaineDesCoutures/,Google+||https://maps.google.com/?cid=16983524853529281929,Instagram||https://www.instagram.com/domainedescoutures/;;Viticulture;Haute valeur environnementale (HVE);;;;;;;Anglais,Français;"Saumur;Saumur Blanc;Saumur Brut;Saumur Champigny;Saumur Rosé";;;oui;;;;;;;;;;;;;01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.215691, 0.026241;Maine-et-Loire
La Compagnie Bretonne  - Conserverie;Fruits de mer,Produits du terroir (boutique);;;6 place Saint-Aubin;Intra-Muros;44350;;GUERANDE;;44069;47.32797;-2.42956;;;02 40 45 21 42;;info@lacompagniebretonne.fr;http://www.lacompagniebretonne.fr;;;;;"Activités de la mer;Agriculture / horticulture / Pêche";;;oui;;;;;;;;;;;;;;;;;;;;;;||||||||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.32797, -2.42956;Loire-Atlantique
La Maison d'à côté;Textile / Habillement / Chaussure;;;6 rue du Château Gaillard;;49730;;TURQUANT;;49358;47.219976;0.02763;;;07 83 28 46 54;;lamaison.dacote@orange.fr;;;;Facebook||https://www.facebook.com/isabelleclaudelturquant/,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g651745-d12673772-Reviews-La_Maison_d_a_Cote-Turquant_Maine_et_Loire_Pays_de_la_Loire.html;;Artisanat / Art;;;non;;;;;Anglais,Français;;;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.219976, 0.02763;Maine-et-Loire
GAEC des Marouettes;Fromage et produit laitier;;;630 chemin de la Retusière;Les Champs;49125;;TIERCE;;49347;47.5932263;-0.4768854;;07 49 41 42 36;;;lacremeriedeviolette@outlook.fr;;;;Facebook||https://www.facebook.com/Lacremeriedeviolette;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Agriculture Biologique (AB);;oui;;;;;Anglais,Français;;;;oui;;;;;;;;;Français,Anglais;oui;;oui;;;;;oui;;;47.5932263, -0.4768854;Maine-et-Loire
FERME DE LA VINAUDAIS;Confiture,Fruits / légumes;;;7 Le Plessis;;44560;;CORSEPT;;44046;47.26598;-2.0899;;06 73 95 77 31;;;j.blomqvist@yahoo.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.26598, -2.0899;Loire-Atlantique
